division,team,games,wins,losses,win_pct,ab,hr,hr_pct
JUCO,Glen Oaks Community College,38,21,17,0.5526,994,26,0.0262
JUCO,Glendale Community College,46,12,30,0.2609,1218,26,0.0213
JUCO,Grand Rapids Community College,43,19,22,0.4419,1177,18,0.0153
JUCO,Hawkeye Community College,46,7,39,0.1522,1057,43,0.0407
JUCO,Heartland Community College,56,26,29,0.4643,1521,44,0.0289
JUCO,Henry Ford College,35,7,27,0.2,963,8,0.0083
JUCO,Hesston College,38,8,30,0.2105,859,5,0.0058
JUCO,Highland Community College - Illinois,34,3,14,0.0882,926,6,0.0065
JUCO,Highland Community College - Kansas,52,26,26,0.5,1522,40,0.0263
JUCO,Hinds Community College,48,32,16,0.6667,1260,28,0.0222
JUCO,Hocking,40,27,13,0.675,1109,5,0.0045
JUCO,Holmes Community College,48,23,25,0.4792,1298,21,0.0162
JUCO,Howard Community College,34,9,22,0.2647,845,22,0.026
JUCO,Illinois Central College,44,16,17,0.3636,1243,35,0.0282
JUCO,Illinois Valley Community College,33,24,8,0.7273,907,15,0.0165
JUCO,Independence Community College,39,16,23,0.4103,1012,12,0.0119
JUCO,Iowa Central Community College,58,37,21,0.6379,1614,78,0.0483
JUCO,Iowa Lakes Community College,51,16,20,0.3137,1278,56,0.0438
JUCO,Itawamba Community College,54,24,27,0.4444,1466,25,0.0171
JUCO,Jackson College,41,9,9,0.2195,1094,25,0.0229
JUCO,John Wood Community College,35,0,3,0,660,3,0.0045
JUCO,Johnson County,58,46,12,0.7931,1574,73,0.0464
JUCO,Jones College,54,39,15,0.7222,1494,97,0.0649
JUCO,Kalamazoo Valley Community College,40,6,14,0.15,1031,18,0.0175
JUCO,Kankakee Community College,51,42,8,0.8235,1530,57,0.0373
JUCO,Kansas City Kansas Community College,56,36,20,0.6429,1489,52,0.0349
JUCO,Kirkwood Community College,69,55,14,0.7971,1956,99,0.0506
JUCO,Kishwaukee College,53,28,22,0.5283,1439,29,0.0202
JUCO,Labette Community College,48,16,18,0.3333,1226,22,0.0179
JUCO,Lackawanna College,54,35,18,0.6481,1468,20,0.0136
JUCO,Lake Michigan College,47,25,14,0.5319,1262,20,0.0158
JUCO,Lake Region State College - ND,47,12,32,0.2553,1199,15,0.0125
JUCO,Lake-Sumter State College,59,30,28,0.5085,1579,39,0.0247
JUCO,Lakeland Community College,30,7,10,0.2333,881,20,0.0227
JUCO,Lansing Community College,58,41,17,0.7069,1644,67,0.0408
JUCO,Lewis & Clark Community College,39,4,18,0.1026,933,16,0.0171
JUCO,Lincoln Land Community College,50,16,34,0.32,1301,35,0.0269
JUCO,Louisburg College,62,52,8,0.8387,1547,142,0.0918
JUCO,Louisiana State University Eunice,56,37,10,0.6607,1420,22,0.0155
JUCO,Lurleen B. Wallace Community College,53,10,4,0.1887,1419,36,0.0254
